,index,Home Win,Home Loss,Home Draw,Home GF,Home GA,Home GD,Home Points,Away Win,Away Loss,Away Draw,Away GF,Away GA,Away GD,Away Points,Win,Loss,Draw,GF,GA,GD,Points,Rank
0,Manchester City FC,16,1,2,61,14,47,50,16,1,2,45,13,32,50,32,4,2,95,21,72,98,1
1,Liverpool ,15,2,4,38,9,29,47,10,5,2,30,19,11,34,30,1,7,89,22,67,97,2
2,Chelsea FC,13,2,4,40,16,24,43,10,5,4,34,20,14,34,21,8,9,63,39,24,72,3
3,Tottenham Hotspur,12,0,5,45,10,35,43,9,5,7,39,28,11,32,23,13,2,67,39,28,71,4
4,Arsenal FC,11,4,3,30,16,14,37,10,6,4,32,22,10,33,21,10,7,73,51,22,70,5
5,Manchester United FC,15,2,4,54,20,34,47,4,11,2,20,31,-11,16,19,10,9,65,54,11,66,6
6,Wolverhampton Wanderers,7,7,7,16,17,-1,26,7,5,5,20,22,-2,28,16,13,9,47,46,1,57,7
7,Everton FC,10,5,6,28,22,6,34,3,10,4,16,36,-20,15,15,14,9,54,46,8,54,8
8,Leicester City FC,7,6,5,25,22,3,27,5,9,6,31,38,-7,20,15,16,7,51,48,3,52,9
9,West Ham United FC,8,7,4,21,17,4,28,4,11,4,18,30,-12,16,15,16,7,52,55,-3,52,10
10,Watford FC,7,7,6,29,27,2,26,4,9,5,16,28,-12,18,14,16,8,52,59,-7,50,11
11,Crystal Palace,7,7,6,26,30,-4,26,4,9,5,19,31,-12,18,14,17,7,51,53,-2,49,12
12,Newcastle United,7,6,6,24,26,-2,27,3,10,6,24,42,-18,15,12,17,9,42,48,-6,45,13
13,Bournemouth,7,6,2,27,31,-4,27,4,13,6,17,33,-16,14,13,19,6,56,70,-14,45,14
14,Burnley,7,4,5,24,25,-1,29,2,12,8,10,29,-19,11,11,20,7,45,68,-23,40,15
15,Southampton FC,6,8,5,16,25,-9,23,3,11,5,12,33,-21,14,9,17,12,45,65,-20,39,16
16,Brighton and Hove Albion,4,8,8,20,26,-6,19,3,8,7,17,30,-13,17,9,20,9,35,60,-25,36,17
17,Cardiff City,6,10,6,17,24,-7,21,2,11,3,11,32,-21,12,10,24,4,34,69,-35,34,18
18,Fulham,5,9,7,20,30,-10,20,2,10,5,15,38,-23,13,7,26,5,34,81,-47,26,19
19,Huddersfield Town,3,7,4,21,29,-8,18,3,12,9,10,27,-17,13,3,28,7,22,76,-54,16,20
