year,Rank,name,Points,GD,GF,GA,Win,Draw,Loss,g_age,g_total_value,g_avg_value,d_age,d_total_value,d_avg_value,m_age,m_total_value,m_avg_value,a_age,a_total_value,a_avg_value,link
2018,1,manchester city,98,72,95,21,32,2,4,"27,00",£67.05m,£22.35m,"26,60",£274.95m,£27.50m,"28,33",£226.80m,£37.80m,"24,86",£485.10m,£69.30m,/manchester-city/startseite/verein/281/saison_id/2018
2018,2,liverpool,97,67,89,22,30,7,1,"29,33",£79.65m,£26.55m,"25,22",£302.85m,£33.65m,"27,86",£234.00m,£33.43m,"25,25",£384.30m,£48.04m,/fc-liverpool/startseite/verein/31/saison_id/2018
2018,3,chelsea,72,24,63,39,21,9,8,"31,25",£55.58m,£13.89m,"26,23",£230.40m,£17.72m,"25,88",£253.80m,£31.73m,"27,29",£283.50m,£40.50m,/fc-chelsea/startseite/verein/631/saison_id/2018
2018,4,tottenham hotspur,71,28,67,39,23,2,13,"31,33",£25.20m,£8.40m,"25,70",£221.40m,£22.14m,"24,38",£277.20m,£34.65m,"27,17",£269.55m,£44.93m,/tottenham-hotspur/startseite/verein/148/saison_id/2018
2018,5,arsenal,70,22,73,51,21,7,10,"27,60",£31.28m,£6.26m,"27,08",£139.95m,£11.66m,"25,44",£231.30m,£25.70m,"25,80",£166.50m,£33.30m,/fc-arsenal/startseite/verein/11/saison_id/2018
2018,6,manchester united,66,11,65,54,19,9,10,"32,00",£62.33m,£20.78m,"25,85",£177.30m,£13.64m,"26,71",£204.30m,£29.19m,"24,83",£262.35m,£43.73m,/manchester-united/startseite/verein/985/saison_id/2018
2018,7,wolverhampton wanderers,57,1,47,46,16,9,13,"27,50",£20.93m,£5.23m,"25,50",£65.03m,£8.13m,"25,20",£77.40m,£15.48m,"24,13",£103.50m,£12.94m,/wolverhampton-wanderers/startseite/verein/543/saison_id/2018
2018,8,everton,54,8,54,46,15,9,14,"30,50",£36.90m,£18.45m,"27,17",£109.58m,£9.13m,"25,22",£119.70m,£13.30m,"24,83",£131.40m,£21.90m,/fc-everton/startseite/verein/29/saison_id/2018
2018,9,leicester city,52,3,51,48,15,7,16,"30,67",£18.68m,£6.23m,"27,89",£129.38m,£14.38m,"23,70",£143.10m,£14.31m,"26,14",£58.05m,£8.29m,/leicester-city/startseite/verein/1003/saison_id/2018
2018,10,west ham united,52,-3,52,55,15,7,16,"33,00",£7.65m,£3.83m,"27,67",£80.10m,£8.90m,"27,00",£86.85m,£9.65m,"28,40",£136.80m,£13.68m,/west-ham-united/startseite/verein/379/saison_id/2018
