,year,Rank,Points,GD,GF,GA,Win,Draw,Loss,g_age,g_total_value,g_avg_value,d_age,d_total_value,d_avg_value,m_age,m_total_value,m_avg_value,a_age,a_total_value,a_avg_value,link,bought,sold,attendance
0,2018,5,70,22,73,51,21,7,10,27.60,31280000.0,6260000.0,27.08,139950000.0,11660000.0,25.44,231300000.0,25700000.0,25.80,166500000.0,33299999.999999996,/fc-arsenal/startseite/verein/11/saison_id/2018,72140000.0,6210000.0,59899
1,2017,6,63,23,74,51,19,6,13,26.75,13050000.0,3260000.0,24.36,132840000.0,9490000.0,22.47,210420000.0,12380000.0,24.30,214200000.0,21420000.0,/fc-arsenal/startseite/verein/11/saison_id/2017,137570000.0,140580000.0,59323
2,2016,5,75,33,77,44,23,6,9,26.20,30600000.0,6120000.0,24.46,128930000.0,9920000.0,22.31,181800000.0,13980000.0,23.45,129150000.0,11740000.0,/fc-arsenal/startseite/verein/11/saison_id/2016,101740000.0,9320000.0,59957
3,2015,2,71,29,65,36,20,11,7,25.25,18000000.0,4500000.0,24.60,98100000.0,9810000.0,23.63,139140000.0,8700000.0,22.27,112500000.0,10230000.0,/fc-arsenal/startseite/verein/11/saison_id/2015,23850000.0,2250000.0,59944
4,2014,3,75,35,71,36,22,9,7,21.20,18270000.0,3650000.0,23.17,72360000.0,6030000.0,23.93,156600000.0,11190000.0,22.45,116690000.0,10610000.0,/fc-arsenal/startseite/verein/11/saison_id/2014,107080000.0,25020000.0,59992
5,2013,4,79,27,68,41,24,7,7,26.00,21150000.0,7050000.0,25.22,82170000.0,9130000.0,23.41,134550000.0,7910000.0,21.83,69210000.0,5770000.0,/fc-arsenal/startseite/verein/11/saison_id/2013,44330000.0,10940000.0,60013
6,2012,4,73,35,72,37,21,10,7,22.60,15530000.0,3110000.0,22.80,80100000.0,5340000.0,23.42,91800000.0,7650000.0,22.80,76950000.0,7700000.0,/fc-arsenal/startseite/verein/11/saison_id/2012,50400000.0,59270000.0,60079
7,2011,3,70,25,74,49,21,7,10,24.40,9000000.0,1800000.0,22.75,67590000.0,5630000.0,22.00,92950000.0,6200000.0,24.38,112100000.0,8620000.0,/fc-arsenal/startseite/verein/11/saison_id/2011,58930000.0,70460000.0,60000
8,2010,4,68,29,72,43,19,11,8,26.50,12130000.0,2020000.0,23.89,66599999.99999999,7400000.0,21.33,112140000.0,9350000.0,23.43,83070000.0,11870000.0,/fc-arsenal/startseite/verein/11/saison_id/2010,20700000.0,7290000.0,60023
9,2009,3,75,42,83,41,23,6,9,22.80,10710000.0,2140000.0,23.53,73080000.0,4870000.0,19.81,93060000.0,5820000.0,21.56,76050000.0,8450000.0,/fc-arsenal/startseite/verein/11/saison_id/2009,10800000.0,42930000.0,59927
10,2008,4,72,31,68,37,20,12,6,23.00,8189999.999999999,2049999.9999999998,22.92,71150000.0,5930000.0,19.27,78030000.0,5200000.0,21.20,69750000.0,6980000.0,/fc-arsenal/startseite/verein/11/saison_id/2008,36140000.0,23220000.0,60040
11,2007,3,83,43,74,31,24,11,3,27.00,10940000.0,2730000.0,21.58,62780000.0,5230000.0,20.71,80710000.0,5760000.0,21.40,38210000.0,7640000.0,/fc-arsenal/startseite/verein/11/saison_id/2007,27860000.0,51050000.0,60083
12,2006,4,68,28,63,35,19,11,8,29.25,7020000.0,1760000.0,21.47,42170000.0,2810000.0,21.67,80550000.0,6710000.0,21.33,69530000.0,11590000.0,/fc-arsenal/startseite/verein/11/saison_id/2006,13500000.0,11720000.0,60040
13,2005,4,67,37,68,31,20,7,11,28.50,4660000.0,1160000.0,22.58,55760000.0,4650000.0,22.00,56770000.0,5160000.0,21.20,79880000.0,7990000.0,/fc-arsenal/startseite/verein/11/saison_id/2005,41400000.0,22500000.0,38184
