,year,Rank,Points,GD,GF,GA,Win,Draw,Loss,g_age,g_total_value,g_avg_value,d_age,d_total_value,d_avg_value,m_age,m_total_value,m_avg_value,a_age,a_total_value,a_avg_value,link,bought,sold,attendance
0,2015,20,17,-49,27,76,3,8,27,25.00,6080000.0,1220000.0,24.19,37170000.0,2320000.0,24.00,32400000.0,3240000.0,21.69,25430000.0,1960000.0,/aston-villa/startseite/verein/405/saison_id/2015,59810000.0,58230000.0,33690
1,2014,17,38,-26,31,57,10,8,20,29.33,6300000.0,2100000.0,24.54,30150000.0,2320000.0,24.45,34880000.0,3170000.0,22.64,42980000.0,3910000.0,/aston-villa/startseite/verein/405/saison_id/2014,12110000.0,1180000.0,34133
2,2013,15,38,-22,39,61,10,8,20,28.33,4950000.0,1650000.0,23.50,31280000.0,2610000.0,22.20,18680000.0,1870000.0,24.09,49770000.0,4520000.0,/aston-villa/startseite/verein/405/saison_id/2013,17860000.0,7290000.0,36081
3,2012,15,41,-22,47,69,10,11,17,33.33,4730000.0,1580000.0,23.33,15260000.0,1700000.0,22.50,27500000.0,2290000.0,22.56,43450000.0,4830000.0,/aston-villa/startseite/verein/405/saison_id/2012,25050000.0,2880000.0,35060
4,2011,16,38,-16,37,53,7,17,14,32.33,6080000.0,2029999.9999999998,25.31,45950000.0,3530000.0,22.15,39870000.0,3070000.0,24.38,49950000.0,6240000.0,/aston-villa/startseite/verein/405/saison_id/2011,18300000.0,39370000.0,33883
5,2010,9,48,-11,48,59,12,12,14,33.00,4730000.0,1580000.0,24.92,62930000.0,4840000.0,24.00,75670000.0,4450000.0,24.67,43650000.0,7280000.0,/aston-villa/startseite/verein/405/saison_id/2010,33660000.0,25560000.0,37194
6,2009,6,64,13,52,39,17,13,8,32.00,4950000.0,1650000.0,26.08,65250000.0,5440000.0,23.00,43610000.0,3960000.0,25.80,30560000.0,6110000.0,/aston-villa/startseite/verein/405/saison_id/2009,42210000.0,19890000.0,38573
7,2008,6,62,6,54,48,17,11,10,29.00,4410000.0,1470000.0,24.17,42480000.0,3540000.0,22.45,38480000.0,3500000.0,24.50,26190000.0,4370000.0,/aston-villa/startseite/verein/405/saison_id/2008,50310000.0,6770000.0,39812
8,2007,6,60,20,71,51,16,12,10,26.00,7920000.0,2640000.0,24.63,27990000.0,3500000.0,24.50,24030000.0,3000000.0,22.17,17280000.0,2880000.0,/aston-villa/startseite/verein/405/saison_id/2007,22410000.0,16110000.0,40396
9,2006,11,50,2,43,41,11,17,10,26.00,9000000.0,2250000.0,24.67,22520000.0,2500000.0,24.77,30830000.0,2370000.0,25.38,28710000.0,3590000.0,/aston-villa/startseite/verein/405/saison_id/2006,22230000.0,1640000.0,36214
10,2005,16,42,-13,42,55,10,12,16,23.67,6840000.0,2280000.0,25.63,24860000.0,3110000.0,24.33,34880000.0,2910000.0,22.43,28670000.0,4099999.9999999995,/aston-villa/startseite/verein/405/saison_id/2005,14890000.0,5760000.0,34112
