,year,Rank,Points,GD,GF,GA,Win,Draw,Loss,g_age,g_total_value,g_avg_value,d_age,d_total_value,d_avg_value,m_age,m_total_value,m_avg_value,a_age,a_total_value,a_avg_value,link,bought,sold,attendance
0,2018,3,72,24,63,39,21,9,8,31.25,55580000.0,13890000.0,26.23,230400000.0,17720000.0,25.88,253800000.0,31730000.0,27.29,283500000.0,40500000.0,/fc-chelsea/startseite/verein/631/saison_id/2018,189000000.0,55580000.0,40441
1,2017,5,70,24,62,38,21,7,10,28.20,39740000.0,7950000.0,22.63,168750000.0,8880000.0,23.18,148500000.0,13500000.0,24.00,227700000.0,20700000.0,/fc-chelsea/startseite/verein/631/saison_id/2017,234540000.0,180540000.0,41282
2,2016,1,93,52,85,33,30,3,5,26.20,44780000.0,8960000.0,24.00,130550000.00000001,7250000.0,22.42,152550000.0,12710000.0,23.86,215100000.0,15360000.0,/fc-chelsea/startseite/verein/631/saison_id/2016,119520000.0,97560000.0,41508
3,2015,10,50,6,59,53,12,14,12,26.25,39060000.0,9770000.0,22.86,81360000.0,5810000.0,23.00,151650000.0,16850000.0,24.15,249750000.0,19210000.0,/fc-chelsea/startseite/verein/631/saison_id/2015,81450000.0,78740000.0,41500
4,2014,1,87,41,73,32,26,9,3,26.60,41580000.0,8320000.0,24.00,87300000.0,8730000.0,23.00,147060000.0,18380000.0,23.47,197550000.0,13170000.0,/fc-chelsea/startseite/verein/631/saison_id/2014,123930000.0,130370000.0,41546
5,2013,3,82,44,71,27,25,7,6,28.00,40500000.0,6750000.0,23.62,112570000.0,8660000.0,23.71,167400000.0,11960000.0,22.19,204210000.0,12760000.0,/fc-chelsea/startseite/verein/631/saison_id/2013,117320000.0,69690000.0,41482
6,2012,3,75,36,75,39,22,9,7,31.00,24300000.0,8100000.0,25.10,91350000.0,9140000.0,23.67,150300000.0,12530000.0,24.44,123300000.0,13700000.0,/fc-chelsea/startseite/verein/631/saison_id/2012,98730000.0,22910000.0,41462
7,2011,6,64,19,65,46,18,10,10,26.75,25200000.0,6300000.0,27.33,132750000.0,14750000.0,23.40,125100000.0,12510000.0,26.11,137700000.0,15300000.0,/fc-chelsea/startseite/verein/631/saison_id/2011,86810000.0,29160000.0,41484
8,2010,2,71,36,69,33,21,8,9,29.00,25430000.0,8480000.0,24.17,116150000.0,9680000.0,22.11,111690000.0,12410000.0,25.67,148280000.0,16480000.0,/fc-chelsea/startseite/verein/631/saison_id/2010,109350000.0,14850000.0,41435
9,2009,1,86,71,103,32,27,5,6,24.20,27230000.0,5450000.0,25.82,115650000.0,10510000.0,25.89,155750000.0,17310000.0,23.45,101070000.0,9190000.0,/fc-chelsea/startseite/verein/631/saison_id/2009,27000000.0,3420000.0,41423
10,2008,3,83,44,68,24,25,8,5,27.50,27900000.0,6980000.0,26.70,111020000.0,11100000.0,25.67,130550000.00000001,14510000.0,23.20,117720000.0,11770000.0,/fc-chelsea/startseite/verein/631/saison_id/2008,27450000.0,40100000.0,41588
11,2007,2,85,39,65,26,25,10,3,26.50,27270000.0,6820000.0,24.23,101120000.0,7780000.0,23.15,123530000.0,9500000.0,24.78,128930000.0,14330000.0,/fc-chelsea/startseite/verein/631/saison_id/2007,53100000.0,39290000.0,41397
12,2006,2,83,40,64,24,24,11,3,25.83,25580000.0,4260000.0,23.18,102290000.0,9300000.0,22.54,122450000.0,9420000.0,22.29,113180000.0,16170000.000000002,/fc-chelsea/startseite/verein/631/saison_id/2006,80080000.0,47340000.0,41510
13,2005,1,91,50,72,22,29,4,5,23.50,21760000.0,5440000.0,24.00,94950000.0,11870000.0,24.50,117000000.0,11700000.0,24.50,83250000.0,13880000.0,/fc-chelsea/startseite/verein/631/saison_id/2005,82350000.0,30690000.0,41902
