,year,Rank,Points,GD,GF,GA,Win,Draw,Loss,g_age,g_total_value,g_avg_value,d_age,d_total_value,d_avg_value,m_age,m_total_value,m_avg_value,a_age,a_total_value,a_avg_value,link,bought,sold,attendance
0,2018,8,54,8,54,46,15,9,14,30.50,36900000.0,18450000.0,27.17,109580000.0,9130000.0,25.22,119700000.0,13300000.0,24.83,131400000.0,21900000.0,/fc-everton/startseite/verein/29/saison_id/2018,89820000.0,25790000.0,39043
1,2017,8,49,-14,44,58,13,10,15,26.00,19800000.0,4950000.0,24.56,87080000.0,5440000.0,22.57,104850000.0,7490000.0,23.93,100350000.0,7170000.0,/fc-everton/startseite/verein/29/saison_id/2017,182880000.0,113830000.0,38797
2,2016,7,61,18,62,44,17,10,11,26.00,3600000.0,1200000.0,24.75,58500000.0,4880000.0,24.80,88200000.0,8820000.0,24.79,105620000.0,7540000.0,/fc-everton/startseite/verein/29/saison_id/2016,77310000.0,54720000.0,39080
3,2015,11,47,4,59,55,11,14,13,26.67,4590000.0,1530000.0,24.00,53620000.0,3830000.0,23.45,48600000.0,4420000.0,26.18,76910000.0,6990000.0,/fc-everton/startseite/verein/29/saison_id/2015,44010000.0,9900000.0,38124
4,2014,11,47,-2,48,50,12,11,15,25.67,4950000.0,1650000.0,24.85,45500000.0,3500000.0,22.17,33530000.0,2790000.0,25.33,75780000.0,6320000.0,/fc-everton/startseite/verein/29/saison_id/2014,36140000.0,1710000.0,38406
5,2013,5,72,22,61,39,21,9,8,25.00,4950000.0,1650000.0,26.27,51300000.0,4660000.0,24.29,49950000.0,7140000.0,24.23,89550000.0,6890000.0,/fc-everton/startseite/verein/29/saison_id/2013,28620000.0,41490000.0,37732
6,2012,6,63,15,55,40,16,15,7,26.33,4950000.0,1650000.0,25.33,45950000.0,3830000.0,24.50,30380000.0,5060000.0,23.38,31120000.0,3890000.0,/fc-everton/startseite/verein/29/saison_id/2012,19490000.0,16880000.0,36356
7,2011,7,56,10,50,40,15,11,12,33.00,12150000.0,4050000.0,26.44,48220000.0,5360000.0,23.33,78750000.0,6560000.0,24.50,32759999.999999996,2730000.0,/fc-everton/startseite/verein/29/saison_id/2011,6480000.0,24120000.0,33228
8,2010,7,54,6,51,45,13,15,10,28.00,11880000.0,3960000.0,24.70,41920000.0,4190000.0000000005,22.78,69980000.0,7780000.0,22.90,36900000.0,3690000.0,/fc-everton/startseite/verein/29/saison_id/2010,1530000.0,5940000.0,36064
9,2009,8,61,11,60,49,16,13,9,28.00,8730000.0,2180000.0,23.63,74480000.0,4650000.0,20.92,65660000.0,5470000.0,22.80,50540000.0,5050000.0,/fc-everton/startseite/verein/29/saison_id/2009,20970000.0,25510000.0,36725
10,2008,5,63,18,55,37,17,12,9,29.00,6570000.0,2190000.0,25.70,41670000.0,4170000.0,21.20,43540000.0,4350000.0,22.78,55670000.0,6190000.0,/fc-everton/startseite/verein/29/saison_id/2008,22570000.0,11970000.0,35667
11,2007,5,65,22,55,33,19,8,11,24.75,5760000.0,1440000.0,25.70,31370000.0,3140000.0,23.90,35640000.0,3560000.0,22.63,31910000.0,3990000.0,/fc-everton/startseite/verein/29/saison_id/2007,33800000.0,14220000.0,36955
12,2006,6,58,16,52,36,15,13,10,25.67,3390000.0,1130000.0,27.09,28670000.0,2610000.0,25.10,31680000.0,3170000.0,22.83,27410000.0,4570000.0,/fc-everton/startseite/verein/29/saison_id/2006,16110000.0,2250000.0,36752
13,2005,11,50,-15,34,49,14,8,16,26.80,7700000.0,1540000.0,26.25,39920000.0,3330000.0,26.29,22950000.0,3280000.0,23.86,28240000.0,4030000.0000000005,/fc-everton/startseite/verein/29/saison_id/2005,29270000.0,6300000.0,36860
