,year,Rank,Points,GD,GF,GA,Win,Draw,Loss,g_age,g_total_value,g_avg_value,d_age,d_total_value,d_avg_value,m_age,m_total_value,m_avg_value,a_age,a_total_value,a_avg_value,link,bought,sold,attendance
0,2018,19,26,-47,34,81,7,5,26,27.67,18000000.0,6000000.0,27.43,32850000.0,4690000.0,25.70,104400000.0,10440000.0,27.33,49950000.0,8330000.0,/fc-fulham/startseite/verein/931/saison_id/2018,104850000.0,4050000.0,24371
1,2013,19,32,-45,40,85,9,5,24,24.20,8550000.0,1710000.0,27.36,29250000.0,2660000.0,25.16,55440000.0,2920000.0,22.69,40280000.0,3100000.0,/fc-fulham/startseite/verein/931/saison_id/2013,26550000.0,3740000.0,24977
2,2012,12,43,-10,50,60,11,10,17,28.50,5180000.0,1290000.0,26.82,28260000.0,2570000.0,26.73,44280000.0,2950000.0,24.00,26330000.0,3760000.0,/fc-fulham/startseite/verein/931/saison_id/2012,9000000.0,28280000.0,25423
3,2011,9,52,-3,48,51,14,10,14,27.50,4820000.0,1200000.0,27.38,29610000.0,3700000.0,26.19,46620000.0,2910000.0,24.00,25650000.0,3210000.0,/fc-fulham/startseite/verein/931/saison_id/2011,16520000.0,6900000.0,25399
4,2010,8,49,6,49,43,11,16,11,30.00,4590000.0,1150000.0,26.60,30240000.0,3020000.0,28.45,39870000.0,3620000.0,26.22,26060000.0,2900000.0,/fc-fulham/startseite/verein/931/saison_id/2010,9950000.0,11350000.0,25151
5,2009,12,46,-7,39,46,12,10,16,32.33,4099999.9999999995,1370000.0,24.83,24080000.0,2009999.9999999998,24.56,27770000.0,1740000.0,25.00,27590000.0,2510000.0,/fc-fulham/startseite/verein/931/saison_id/2009,6390000.0,0.0,23909
6,2008,7,53,5,39,34,14,11,13,31.33,3830000.0,1280000.0,23.67,15930000.0,1330000.0,24.85,23400000.0,1800000.0,25.80,32310000.000000004,3230000.0,/fc-fulham/startseite/verein/931/saison_id/2008,24170000.0,14690000.0,24344
7,2007,17,36,-22,38,60,8,12,18,31.25,8100000.0,2029999.9999999998,25.87,23850000.0,1590000.0,26.62,29770000.0,2290000.0,26.27,18940000.0,1720000.0,/fc-fulham/startseite/verein/931/saison_id/2007,44490000.0,17550000.0,23774
8,2006,16,39,-22,38,60,8,15,15,29.00,8100000.0,1620000.0,24.18,16649999.999999998,1510000.0,26.92,30490000.0,2350000.0,26.50,18900000.0,2360000.0,/fc-fulham/startseite/verein/931/saison_id/2006,12420000.0,9460000.0,22287
9,2005,12,48,-10,48,58,14,6,18,28.60,6800000.0,1360000.0,24.75,21920000.0,1830000.0,27.60,29300000.0,2930000.0,27.50,5810000.0,1450000.0,/fc-fulham/startseite/verein/931/saison_id/2005,5900000.0,4160000.0,20654
