,year,Rank,Points,GD,GF,GA,Win,Draw,Loss,g_age,g_total_value,g_avg_value,d_age,d_total_value,d_avg_value,m_age,m_total_value,m_avg_value,a_age,a_total_value,a_avg_value,link,bought,sold,attendance
0,2018,2,97,67,89,22,30,7,1,29.33,79650000.0,26550000.0,25.22,302850000.0,33650000.0,27.86,234000000.0,33430000.0,25.25,384300000.0,48040000.0,/fc-liverpool/startseite/verein/31/saison_id/2018,163980000.0,36990000.0,52983
1,2017,4,75,46,84,38,21,12,5,26.50,21150000.0,5290000.0,23.50,110700000.0,9230000.0,24.50,121500000.0,15190000.0,22.91,192150000.0,17470000.0,/fc-liverpool/startseite/verein/31/saison_id/2017,156490000.0,175050000.0,53049
2,2016,4,76,36,78,42,22,10,6,28.20,20430000.0,4090000.0,23.27,92930000.0,8450000.0,23.45,105840000.0,9620000.0,21.27,135540000.0,12320000.0,/fc-liverpool/startseite/verein/31/saison_id/2016,71910000.0,76840000.0,53016
3,2015,8,60,13,63,50,16,12,10,23.20,12830000.0,2570000.0,22.94,95940000.0,5640000.0,23.00,84200000.0,7650000.0,20.73,99540000.0,9050000.0,/fc-liverpool/startseite/verein/31/saison_id/2015,112860000.0,81500000.0,43910
4,2014,6,62,4,52,48,18,8,12,26.33,12150000.0,4050000.0,24.82,85500000.0,7770000.0,22.90,61650000.0,6170000.0,21.36,97200000.0,8840000.0,/fc-liverpool/startseite/verein/31/saison_id/2014,136290000.0,89340000.0,44659
5,2013,2,84,51,101,50,26,6,6,26.50,15300000.0,3830000.0,23.93,89100000.0,6360000.0,22.00,51300000.0,5700000.0,21.44,100350000.0,11150000.0,/fc-liverpool/startseite/verein/31/saison_id/2013,52290000.0,29340000.0,44671
6,2012,7,61,28,71,43,16,13,9,25.00,15750000.0,3940000.0,22.43,65700000.0,4690000.0,25.00,90900000.0,9090000.0,19.77,75560000.0,5810000.0,/fc-liverpool/startseite/verein/31/saison_id/2012,63540000.0,9410000.0,44749
7,2011,8,52,7,47,40,14,10,14,27.25,22500000.0,5630000.0,23.82,57830000.0,5260000.0,24.50,76500000.0,9560000.0,24.38,70650000.0,8830000.0,/fc-liverpool/startseite/verein/31/saison_id/2011,59870000.0,20610000.0,44253
8,2010,6,58,15,59,44,17,7,14,24.40,21240000.0,4250000.0,22.73,70250000.0,4680000.0,25.33,122580000.0,13620000.0,22.62,114890000.0,8840000.0,/fc-liverpool/startseite/verein/31/saison_id/2010,87770000.0,91350000.0,42824
9,2009,7,63,26,61,35,18,9,11,23.67,18900000.0,6300000.0,23.00,70290000.0,5410000.0,24.00,95940000.0,13710000.0,24.18,118040000.0,10730000.0,/fc-liverpool/startseite/verein/31/saison_id/2009,39150000.0,43700000.0,42864
10,2008,2,86,50,77,27,25,11,2,22.20,15140000.0,3030000.0,24.40,50180000.0,5020000.0,23.43,92430000.0,13200000.0,24.09,103910000.0,9450000.0,/fc-liverpool/startseite/verein/31/saison_id/2008,64310000.0,41360000.0,43611
11,2007,4,76,39,67,28,21,13,4,22.50,16880000.0,4220000.0,23.46,57270000.0,4410000.0,20.31,77600000.0,5970000.0,23.64,80810000.0,7350000.0,/fc-liverpool/startseite/verein/31/saison_id/2007,81630000.0,40730000.0,43532
12,2006,3,68,30,57,27,20,8,10,24.00,12690000.0,3170000.0,22.93,55670000.0,3710000.0,20.50,67370000.0,8420000.0,25.00,64709999.99999999,5880000.0,/fc-liverpool/startseite/verein/31/saison_id/2006,41400000.0,18900000.0,43561
13,2005,3,82,32,57,25,25,7,6,23.00,9500000.0,2370000.0,23.31,40410000.0,3110000.0,22.44,54090000.0,6010000.0,24.27,81990000.0,7450000.0,/fc-liverpool/startseite/verein/31/saison_id/2005,39650000.0,17140000.0,44236
