,year,Rank,Points,GD,GF,GA,Win,Draw,Loss,g_age,g_total_value,g_avg_value,d_age,d_total_value,d_avg_value,m_age,m_total_value,m_avg_value,a_age,a_total_value,a_avg_value,link,bought,sold,attendance
0,2018,1,98,72,95,21,32,2,4,27.00,67050000.0,22350000.0,26.60,274950000.0,27500000.0,28.33,226800000.0,37800000.0,24.86,485100000.0,69300000.0,/manchester-city/startseite/verein/281/saison_id/2018,69380000.0,48690000.0,54130
1,2017,1,100,79,106,27,32,4,2,27.00,38930000.0,9730000.0,23.91,171680000.0,15610000.0,26.25,143100000.0,17890000.0,21.00,201020000.0,22340000.0,/manchester-city/startseite/verein/281/saison_id/2017,285750000.0,82220000.0,53812
2,2016,3,78,41,80,39,23,9,6,29.00,31500000.0,7880000.0,25.07,164340000.0,10960000.0,25.85,198680000.0,15280000.0,21.67,164750000.0,13730000.0,/manchester-city/startseite/verein/281/saison_id/2016,192150000.0,31820000.0,54019
3,2015,4,66,30,71,41,19,9,10,32.67,19130000.0,6380000.0,24.67,134550000.0,8970000.0,24.08,156960000.0,12070000.0,20.71,96840000.0,13830000.0,/manchester-city/startseite/verein/281/saison_id/2015,187470000.0,60690000.0,54041
4,2014,2,79,45,83,38,24,7,7,31.67,19130000.0,6380000.0,25.21,156380000.0,11170000.0,24.92,146250000.0,12190000.0,23.86,108450000.0,15490000.0,/manchester-city/startseite/verein/281/saison_id/2014,79470000.0,27560000.0,45365
5,2013,1,86,65,102,37,27,5,6,29.00,24530000.0,8180000.0,25.73,134780000.0,12250000.0,25.63,163800000.0,20480000.0,23.33,114300000.0,19050000.0,/manchester-city/startseite/verein/281/saison_id/2013,104400000.0,10170000.0,47080
6,2012,2,78,32,66,34,23,9,6,25.75,24530000.0,6130000.0,24.64,136800000.0,9770000.0,23.46,163260000.0,12560000.0,22.40,144090000.0,14410000.0,/manchester-city/startseite/verein/281/saison_id/2012,55760000.0,39870000.0,46974
7,2011,1,89,64,93,29,28,5,5,26.00,16830000.0,5610000.0,24.00,110700000.0,8520000.0,25.18,139500000.0,12680000.0,23.56,148590000.0,16510000.000000002,/manchester-city/startseite/verein/281/saison_id/2011,81950000.0,28080000.0,47045
8,2010,3,71,27,60,33,21,8,9,28.25,17100000.0,4280000.0,21.95,94300000.0,4960000.0,24.10,100040000.0,10000000.0,23.58,132840000.0,11070000.0,/manchester-city/startseite/verein/281/saison_id/2010,165240000.0,33439999.999999996,45905
9,2009,5,67,28,73,45,18,13,7,26.20,16700000.0,3340000.0,23.86,85050000.0,6080000.0,22.67,59180000.0,6580000.0,24.58,122490000.0,10210000.0,/manchester-city/startseite/verein/281/saison_id/2009,132570000.0,27860000.0,45470
10,2008,10,50,8,58,50,15,5,18,24.67,11480000.0,3830000.0,23.79,63720000.0,4550000.0,23.13,37580000.0,4700000.0,23.42,109350000.0,9110000.0,/manchester-city/startseite/verein/281/saison_id/2008,141620000.0,23850000.0,42903
11,2007,9,55,-8,45,53,15,10,13,21.67,5450000.0,1820000.0,23.00,24480000.0,2230000.0,24.25,20340000.0,2540000.0,23.69,48290000.0,3710000.0,/manchester-city/startseite/verein/281/saison_id/2007,70160000.0,9510000.0,42126
12,2006,14,42,-15,29,44,11,9,18,23.33,6840000.0,2280000.0,24.29,38930000.0,2780000.0,25.50,18180000.0,3030000.0,25.00,22820000.0,2540000.0,/manchester-city/startseite/verein/281/saison_id/2006,5850000.0,3780000.0,39997
13,2005,15,43,-5,43,48,13,4,21,27.75,6260000.0,1560000.0,24.09,27250000.0,2480000.0,23.86,7540000.0,1080000.0,25.33,27720000.0,3080000.0,/manchester-city/startseite/verein/281/saison_id/2005,11230000.0,29250000.0,42856
