,year,Rank,Points,GD,GF,GA,Win,Draw,Loss,g_age,g_total_value,g_avg_value,d_age,d_total_value,d_avg_value,m_age,m_total_value,m_avg_value,a_age,a_total_value,a_avg_value,link,bought,sold,attendance
0,2018,6,66,11,65,54,19,9,10,32.00,62330000.0,20780000.0,25.85,177300000.0,13640000.0,26.71,204300000.0,29190000.0,24.83,262350000.00000003,43730000.0,/manchester-united/startseite/verein/985/saison_id/2018,74430000.0,27500000.0,74498
1,2017,2,81,40,68,28,25,6,7,25.25,42390000.0,10600000.0,24.54,159750000.0,12290000.0,25.40,196650000.0,19670000.0,25.38,181800000.0,22730000.0,/manchester-united/startseite/verein/985/saison_id/2017,178560000.0,40950000.0,74976
2,2016,6,69,25,54,29,18,15,5,22.67,40730000.0,6790000.0,23.36,122400000.0,8740000.0,24.31,202500000.0,15580000.0,22.78,114300000.0,12700000.0,/manchester-united/startseite/verein/985/saison_id/2016,166500000.0,42440000.0,75290
3,2015,5,66,14,49,35,19,9,10,24.00,32180000.0,5360000.0,21.53,94500000.0,5560000.0,24.00,121590000.0,11050000.0,21.70,88470000.0,8850000.0,/manchester-united/startseite/verein/985/saison_id/2015,140400000.0,91860000.0,75279
4,2014,4,70,25,62,37,20,10,8,26.00,29480000.0,5900000.0,22.60,102470000.0,6830000.0,25.00,118350000.0,11840000.0,23.69,219870000.0,16910000.0,/manchester-united/startseite/verein/985/saison_id/2014,175820000.0,44360000.0,75335
5,2013,7,64,21,64,43,19,7,12,23.50,21830000.0,5460000.0,25.67,141300000.0,11780000.0,27.63,121500000.0,15190000.0,21.92,175950000.0,13530000.0,/manchester-united/startseite/verein/985/saison_id/2013,69420000.0,1620000.0,75207
6,2012,1,89,43,86,43,28,5,5,22.50,20930000.0,5230000.0,24.00,146120000.0,10440000.0,26.00,61650000.0,6170000.0,22.00,181710000.0,13980000.0,/manchester-united/startseite/verein/985/saison_id/2012,68810000.0,9790000.0,75530
7,2011,2,89,56,89,33,28,5,5,24.25,16379999.999999998,4099999.9999999995,22.38,137930000.0,8620000.0,25.45,79200000.0,7200000.0,23.10,124920000.0,12490000.0,/manchester-united/startseite/verein/985/saison_id/2011,56070000.0,13020000.0,75387
8,2010,1,80,41,78,37,23,11,4,28.25,8460000.0,2120000.0,25.08,132120000.0,10160000.0,23.60,95270000.0,6350000.0,22.27,109890000.0,9990000.0,/manchester-united/startseite/verein/985/saison_id/2010,26370000.0,15580000.0,74989
9,2009,2,85,58,86,28,27,4,7,27.50,10440000.0,2610000.0,24.50,120020000.0,10000000.0,24.62,92070000.0,7080000.0,21.36,104130000.0,9470000.0,/manchester-united/startseite/verein/985/saison_id/2009,24660000.0,94020000.0,74864
10,2008,1,90,44,68,24,28,6,4,25.00,10620000.0,2120000.0,23.15,76410000.0,5880000.0,22.86,85230000.0,6090000.0,21.60,150660000.0,15070000.0,/manchester-united/startseite/verein/985/saison_id/2008,40730000.0,6710000.0,75304
11,2007,1,87,58,80,22,27,6,5,26.50,10710000.0,2680000.0,24.33,70650000.0,5890000.0,23.64,96030000.0,8730000.0,22.18,110160000.0,10010000.0,/manchester-united/startseite/verein/985/saison_id/2007,93150000.0,41940000.0,75691
12,2006,1,89,56,83,27,28,5,5,26.33,7740000.0,2580000.0,23.00,76370000.0,5090000.0,22.75,50400000.0,4200000.0,24.38,72090000.0,9010000.0,/manchester-united/startseite/verein/985/saison_id/2006,24480000.0,16200000.0,75826
13,2005,2,83,38,72,34,25,8,5,26.67,8330000.0,2780000.0,23.58,74360000.0,6200000.0,24.36,73800000.0,6710000.0,22.50,103140000.0,12890000.0,/manchester-united/startseite/verein/985/saison_id/2005,28620000.0,7110000.0,68765
