,year,Rank,Points,GD,GF,GA,Win,Draw,Loss,g_age,g_total_value,g_avg_value,d_age,d_total_value,d_avg_value,m_age,m_total_value,m_avg_value,a_age,a_total_value,a_avg_value,link,bought,sold,attendance
0,2018,13,45,-6,42,48,12,9,17,28.25,10800000.0,2700000.0,26.70,63000000.0,6300000.0,26.67,77400000.0,8600000.0,26.00,54450000.0,7780000.0,/newcastle-united/startseite/verein/762/saison_id/2018,53780000.0,43180000.0,51121
1,2017,10,44,-8,39,47,12,8,18,26.25,5940000.0,1490000.0,24.36,41330000.0,2950000.0,24.33,44550000.0,4950000.0,23.60,58730000.0,5870000.0,/newcastle-united/startseite/verein/762/saison_id/2017,39870000.0,17570000.0,51992
2,2015,18,37,-21,44,65,9,10,19,24.50,11930000.0,2980000.0,23.15,27450000.0,2110000.0,24.33,65250000.0,5440000.0,23.23,75960000.0,5840000.0,/newcastle-united/startseite/verein/762/saison_id/2015,97120000.0,4170000.0,49754
3,2014,15,39,-23,40,63,10,9,19,23.00,9900000.0,1980000.0,23.46,30020000.0,2310000.0,23.42,53780000.0,4480000.0,21.67,32180000.0,2680000.0,/newcastle-united/startseite/verein/762/saison_id/2014,40520000.0,21250000.0,50359
4,2013,10,49,-16,43,59,15,4,19,24.00,7880000.0,2630000.0,23.46,49230000.0,3790000.0,23.77,66959999.99999999,5150000.0,24.38,45900000.0,5740000.0,/newcastle-united/startseite/verein/762/saison_id/2013,3420000.0,23280000.0,50395
5,2012,16,41,-23,45,68,11,8,19,26.50,8330000.0,2080000.0,23.36,52830000.0,3770000.0,22.77,67050000.0,5160000.0,23.88,43200000.0,5400000.0,/newcastle-united/startseite/verein/762/saison_id/2012,28770000.0,13320000.0,50517
6,2011,5,65,5,56,51,19,8,11,25.40,5720000.0,1140000.0,23.09,26100000.0,2370000.0,23.38,47410000.0,3650000.0,24.63,29250000.0,3660000.0,/newcastle-united/startseite/verein/762/saison_id/2011,23450000.0,14440000.0,49951
7,2010,12,46,-1,56,57,11,13,14,24.50,3110000.0,776000.0,24.70,22500000.0,2250000.0,22.69,48740000.0,3750000.0,23.55,11750000.0,1070000.0,/newcastle-united/startseite/verein/762/saison_id/2010,12580000.0,37580000.0,47718
8,2008,18,34,-19,40,59,7,13,18,26.25,9950000.0,2490000.0,23.89,26870000.0,2990000.0,23.64,48510000.0,3470000.0,22.91,44370000.0,4030000.0000000005,/newcastle-united/startseite/verein/762/saison_id/2008,31660000.0,37260000.0,48750
9,2007,12,43,-20,45,65,11,10,17,25.25,9320000.0,2330000.0,26.10,25110000.0,2510000.0,25.20,45720000.0,4570000.0,22.86,42170000.0,6020000.0,/newcastle-united/startseite/verein/762/saison_id/2007,34070000.0,28040000.0,51321
10,2006,13,43,-9,38,47,11,10,17,27.00,9500000.0,1900000.0,24.27,24750000.0,2250000.0,24.91,59360000.0,5400000.0,22.50,53420000.0,6680000.0,/newcastle-united/startseite/verein/762/saison_id/2006,28690000.0,10060000.0,50686
11,2005,7,58,5,47,42,17,7,14,29.50,8550000.0,4280000.0,25.25,23900000.0,2990000.0,24.08,63050000.0,5250000.0,25.86,50090000.0,7160000.0,/newcastle-united/startseite/verein/762/saison_id/2005,55130000.0,27810000.0,52032
