,year,Rank,Points,GD,GF,GA,Win,Draw,Loss,g_age,g_total_value,g_avg_value,d_age,d_total_value,d_avg_value,m_age,m_total_value,m_avg_value,a_age,a_total_value,a_avg_value,link,bought,sold,attendance
0,2017,19,33,-33,35,68,7,12,19,27.67,15080000.0,5030000.0,23.85,59900000.0,4610000.0,28.25,29250000.0,3660000.0,24.00,55800000.0,5070000.0,/stoke-city/startseite/verein/512/saison_id/2017,51930000.0,31630000.0,29280
1,2016,13,44,-15,41,56,11,11,16,28.20,9680000.0,1940000.0,24.80,40950000.0,4099999.9999999995,28.57,38700000.0,5530000.0,24.92,84600000.0,7050000.0,/stoke-city/startseite/verein/512/saison_id/2016,34690000.0,3420000.0,27433
2,2015,9,51,-14,41,55,14,9,15,26.00,4280000.0,1070000.0,26.38,30150000.0,3770000.0,26.56,33299999.999999996,3700000.0,26.20,46800000.0,4680000.0,/stoke-city/startseite/verein/512/saison_id/2015,48290000.0,20880000.0,27534
3,2014,9,54,3,48,45,15,9,14,28.67,14400000.0,4800000.0,25.78,35420000.0,3940000.0,26.33,23850000.0,2650000.0,26.33,42300000.0,4700000.0,/stoke-city/startseite/verein/512/saison_id/2014,1620000.0,3420000.0,27081
4,2013,9,50,-7,45,52,13,11,14,25.25,9900000.0,2480000.0,25.00,31500000.0,4500000.0,24.91,31500000.0,2860000.0,26.55,45000000.0,4090000.0,/stoke-city/startseite/verein/512/saison_id/2013,6300000.0,0.0,26137
5,2012,13,42,-11,34,45,9,15,14,29.50,5180000.0,1290000.0,26.33,25430000.0,4240000.0,26.08,33390000.0,2780000.0,28.75,25200000.0,3150000.0,/stoke-city/startseite/verein/512/saison_id/2012,21310000.0,576000.0,26722
6,2011,14,45,-17,36,53,11,12,15,32.00,6080000.0,2029999.9999999998,27.18,36720000.0,3340000.0,26.18,30150000.0,2740000.0,28.14,34200000.0,4890000.0,/stoke-city/startseite/verein/512/saison_id/2011,22320000.0,1790000.0,27226
7,2010,13,46,-2,46,48,13,7,18,31.00,5180000.0,1730000.0,25.92,25520000.0,2130000.0,25.80,17150000.0,1710000.0,28.38,38930000.0,4870000.0,/stoke-city/startseite/verein/512/saison_id/2010,18990000.0,6100000.0,26858
8,2009,11,47,-14,34,48,11,14,13,24.00,3780000.0,756000.0,25.92,24030000.0,1850000.0,23.62,18810000.0,1450000.0,27.57,22500000.0,3210000.0,/stoke-city/startseite/verein/512/saison_id/2009,23450000.0,5850000.0,27162
9,2008,12,45,-17,38,55,12,9,17,30.50,4050000.0,2029999.9999999998,24.94,17550000.0,1100000.0,25.27,13410000.0,1220000.0,27.11,18590000.0,2069999.9999999998,/stoke-city/startseite/verein/512/saison_id/2008,30560000.0,689000.0,26994
