,year,Rank,Points,GD,GF,GA,Win,Draw,Loss,g_age,g_total_value,g_avg_value,d_age,d_total_value,d_avg_value,m_age,m_total_value,m_avg_value,a_age,a_total_value,a_avg_value,link,bought,sold,attendance
0,2016,20,24,-40,29,69,6,6,26,23.50,4500000.0,1130000.0,25.07,31950000.0,2130000.0,23.82,31050000.0,2820000.0,24.17,33750000.0,2810000.0,/afc-sunderland/startseite/verein/289/saison_id/2016,37710000.0,21390000.0,41287
1,2015,17,39,-14,48,62,9,12,17,26.80,7650000.0,1530000.0,25.67,18450000.0,1540000.0,25.36,40950000.0,3720000.0,24.93,48380000.0,3460000.0,/afc-sunderland/startseite/verein/289/saison_id/2015,59450000.0,9450000.0,43071
2,2014,16,38,-22,31,53,7,17,14,22.50,5180000.0,1290000.0,27.11,13910000.0,1550000.0,24.36,48150000.0,4380000.0,24.00,36500000.0,3650000.0,/afc-sunderland/startseite/verein/289/saison_id/2014,20350000.0,6530000.0,43171
3,2013,14,38,-19,41,60,10,8,20,23.40,3150000.0,630000.0,26.60,20430000.0,2040000.0,25.21,55400000.0,3960000.0,22.30,57150000.0,5720000.0,/afc-sunderland/startseite/verein/289/saison_id/2013,30520000.0,20140000.0,41090
4,2012,17,39,-13,41,54,9,12,17,25.50,6300000.0,3150000.0,25.21,33750000.0,2410000.0,24.33,41180000.0,4580000.0,22.92,35330000.0,2940000.0,/afc-sunderland/startseite/verein/289/saison_id/2012,34470000.0,13340000.0,40563
5,2011,13,45,-1,45,46,11,12,15,25.00,10580000.0,2640000.0,26.67,49950000.0,3330000.0,23.88,25880000.0,3230000.0,21.22,26150000.0,2910000.0,/afc-sunderland/startseite/verein/289/saison_id/2011,25430000.0,23690000.0,39047
6,2010,10,47,-11,45,56,12,11,15,23.67,7430000.0,2480000.0,24.88,44350000.0,2770000.0,23.09,46040000.0,4190000.0000000005,22.33,25790000.0,2870000.0,/afc-sunderland/startseite/verein/289/saison_id/2010,26190000.0,37600000.0,40011
7,2009,13,44,-8,48,56,11,11,16,24.33,7380000.0,2460000.0,25.56,57200000.0,3570000.0,22.20,19040000.0,1900000.0,25.33,34920000.0,3880000.0,/afc-sunderland/startseite/verein/289/saison_id/2009,41490000.0,19150000.0,40355
8,2008,16,36,-20,34,54,9,9,20,29.50,8300000.000000001,2080000.0,24.38,41400000.0,2590000.0,22.25,20210000.0,1680000.0,25.33,39110000.0,3260000.0,/afc-sunderland/startseite/verein/289/saison_id/2008,29800000.0,10040000.0,40168
9,2007,15,39,-23,36,59,11,6,21,25.00,2660000.0,664000.0,23.88,19280000.0,1130000.0,22.73,10080000.0,916000.0,25.00,14940000.0,1150000.0,/afc-sunderland/startseite/verein/289/saison_id/2007,57890000.0,2880000.0,43344
10,2005,20,15,-43,26,69,3,6,29,23.00,990000.0,330000.0,24.64,16110000.0,1460000.0,23.44,10400000.0,1160000.0,22.29,5220000.0,746000.0,/afc-sunderland/startseite/verein/289/saison_id/2005,5330000.0,1280000.0,33904
