,year,Rank,Points,GD,GF,GA,Win,Draw,Loss,g_age,g_total_value,g_avg_value,d_age,d_total_value,d_avg_value,m_age,m_total_value,m_avg_value,a_age,a_total_value,a_avg_value,link,bought,sold,attendance
0,2018,4,71,28,67,39,23,2,13,31.33,25200000.0,8400000.0,25.70,221400000.0,22140000.0,24.38,277200000.0,34650000.0,27.17,269550000.0,44930000.0,/tottenham-hotspur/startseite/verein/148/saison_id/2018,0.0,4820000.0,54216
1,2017,3,77,38,74,36,23,8,7,26.50,26100000.0,6530000.0,23.73,132979999.99999999,12090000.0,22.90,161640000.0,16160000.0,23.44,161100000.0,17900000.0,/tottenham-hotspur/startseite/verein/148/saison_id/2017,109350000.0,93420000.0,67496
2,2016,2,86,60,86,26,26,8,4,23.80,27450000.0,5490000.0,24.40,97200000.0,9720000.0,22.29,123300000.0,8810000.0,20.67,99000000.0,11000000.0,/tottenham-hotspur/startseite/verein/148/saison_id/2016,75240000.0,47070000.0,31639
3,2015,3,70,34,69,35,19,13,6,26.00,22500000.0,7500000.0,23.18,75600000.0,6870000.0,21.45,61880000.0,5630000.0,22.50,68400000.0,11400000.0,/tottenham-hotspur/startseite/verein/148/saison_id/2015,63900000.0,78820000.0,35776
4,2014,5,64,5,58,53,19,7,12,27.80,21600000.0,4320000.0,23.80,84650000.0,5640000.0,21.71,83160000.0,5940000.0,24.38,79020000.0,9880000.0,/tottenham-hotspur/startseite/verein/148/saison_id/2014,43620000.0,39740000.0,35728
5,2013,6,69,4,55,51,21,6,11,30.00,15300000.0,3830000.0,22.08,69300000.0,5780000.0,20.79,90000000.0,6430000.0,23.64,91800000.0,8350000.0,/tottenham-hotspur/startseite/verein/148/saison_id/2013,109690000.0,121880000.0,35808
6,2012,5,72,20,66,46,21,9,8,30.80,20250000.0,4050000.0,24.27,75420000.0,6860000.0,23.71,86940000.0,6210000.0,22.73,97760000.0,8890000.0,/tottenham-hotspur/startseite/verein/148/saison_id/2012,65930000.00000001,65500000.0,36066
7,2011,4,69,25,66,41,20,9,9,35.67,12600000.0,4200000.0,24.06,61970000.0,3870000.0,22.38,96440000.0,6030000.0,23.87,113490000.0,7570000.0,/tottenham-hotspur/startseite/verein/148/saison_id/2011,8510000.0,38930000.0,36036
8,2010,5,62,9,55,46,16,14,8,28.00,12670000.0,2530000.0,24.29,81290000.0,5810000.0,23.50,92340000.0,9230000.0,24.78,80100000.0,8900000.0,/tottenham-hotspur/startseite/verein/148/saison_id/2010,23940000.0,2640000.0,35722
9,2009,4,70,26,67,41,21,7,10,28.00,9410000.0,1880000.0,23.00,62190000.0,4440000.0,22.10,71240000.0,7120000.0,22.58,81450000.0,6790000.0,/tottenham-hotspur/startseite/verein/148/saison_id/2009,36270000.0,28530000.0,35794
10,2008,8,51,0,45,45,14,9,15,27.00,11700000.0,2340000.0,23.08,56700000.0,4730000.0,21.79,60120000.0,4290000.0,21.75,95990000.0,8000000.0,/tottenham-hotspur/startseite/verein/148/saison_id/2008,128210000.00000001,79250000.0,35929
11,2007,11,46,5,66,61,11,13,14,25.00,8850000.0,2210000.0,23.13,59510000.0,3720000.0,24.22,41420000.0,4600000.0,22.25,67500000.0,8440000.0,/tottenham-hotspur/startseite/verein/148/saison_id/2007,84740000.0,20300000.0,35967
12,2006,5,60,3,57,54,17,9,12,24.20,9230000.0,1850000.0,23.15,40480000.0,3110000.0,23.64,51440000.0,4680000.0,21.44,49070000.0,5450000.0,/tottenham-hotspur/startseite/verein/148/saison_id/2006,54900000.0,34790000.0,35701
13,2005,5,65,15,53,38,18,11,9,28.00,7610000.0,3800000.0,25.30,33860000.0,3390000.0,24.60,48440000.0,4840000.0,22.38,41040000.0,5130000.0,/tottenham-hotspur/startseite/verein/148/saison_id/2005,32860000.0,20390000.0,36074
