,year,Rank,Points,GD,GF,GA,Win,Draw,Loss,g_age,g_total_value,g_avg_value,d_age,d_total_value,d_avg_value,m_age,m_total_value,m_avg_value,a_age,a_total_value,a_avg_value,link,bought,sold,attendance
0,2017,20,31,-25,31,56,6,13,19,29.33,4950000.0,1650000.0,24.73,27090000.0,2460000.0,27.25,42080000.0,5260000.0,23.82,74840000.0,6800000.0,/west-bromwich-albion/startseite/verein/984/saison_id/2017,48150000.0,1850000.0,24520
1,2016,10,45,-8,43,51,12,9,17,26.50,5490000.0,1370000.0,27.00,22050000.0,2450000.0,26.25,20250000.0,2530000.0,25.44,55800000.0,6200000.0,/west-bromwich-albion/startseite/verein/984/saison_id/2016,34110000.0,24280000.0,23876
2,2015,14,43,-14,34,48,10,13,15,26.60,5850000.0,1170000.0,27.44,20700000.0,2300000.0,25.09,29700000.0,2700000.0,23.30,49050000.0,4910000.0,/west-bromwich-albion/startseite/verein/984/saison_id/2015,38610000.0,11630000.0,24631
3,2014,13,44,-13,38,51,11,11,16,24.80,5630000.0,1130000.0,26.00,18140000.0,2020000.0,27.45,41130000.0,3740000.0,23.11,25650000.0,2850000.0,/west-bromwich-albion/startseite/verein/984/saison_id/2014,22390000.0,2069999.9999999998,25064
4,2013,17,36,-16,43,59,7,15,16,28.25,7650000.0,1910000.0,27.10,16379999.999999998,1640000.0,26.00,32850000.0,3650000.0,24.80,27000000.0,2700000.0,/west-bromwich-albion/startseite/verein/984/saison_id/2013,14130000.0,10260000.0,25194
5,2012,8,49,-4,53,57,14,7,17,27.33,6530000.0,2180000.0,25.91,17820000.0,1620000.0,24.88,19350000.0,2420000.0,23.50,31050000.0,3110000.0,/west-bromwich-albion/startseite/verein/984/saison_id/2012,4500000.0,3350000.0,25202
6,2011,10,47,-7,45,52,13,8,17,26.33,6640000.0,2210000.0,25.71,26780000.0,1910000.0,24.50,23400000.0,2340000.0,24.00,16430000.0,1830000.0,/west-bromwich-albion/startseite/verein/984/saison_id/2011,8170000.0,10010000.0,24770
7,2010,11,47,-15,56,71,12,11,15,28.00,7180000.0,1790000.0,24.80,30920000.0,2060000.0,22.43,13500000.0,1930000.0,23.27,24930000.0,2270000.0,/west-bromwich-albion/startseite/verein/984/saison_id/2010,12450000.0,765000.0,24683
8,2008,20,32,-31,36,67,8,8,22,25.00,5810000.0,1940000.0,25.27,19400000.0,1760000.0,22.90,18410000.0,1840000.0,23.00,15710000.0,1430000.0,/west-bromwich-albion/startseite/verein/984/saison_id/2008,21890000.0,9230000.0,25828
9,2005,19,30,-27,31,58,7,9,22,26.33,5450000.0,1820000.0,24.89,8690000.0,965000.0,24.83,20570000.0,1710000.0,26.14,14850000.0,2120000.0,/west-bromwich-albion/startseite/verein/984/saison_id/2005,13770000.0,8170000.0,25404
