,year,Rank,Points,GD,GF,GA,Win,Draw,Loss,g_age,g_total_value,g_avg_value,d_age,d_total_value,d_avg_value,m_age,m_total_value,m_avg_value,a_age,a_total_value,a_avg_value,link,bought,sold,attendance
0,2018,10,52,-3,52,55,15,7,16,33.00,7650000.0,3830000.0,27.67,80100000.0,8900000.0,27.00,86850000.0,9650000.0,28.40,136800000.0,13680000.0,/west-ham-united/startseite/verein/379/saison_id/2018,90810000.0,13380000.0,58336
1,2017,13,42,-20,48,68,10,12,16,26.00,18900000.0,6300000.0,25.36,59040000.0,4220000.0,22.08,71240000.0,5940000.0,24.83,89190000.0,7430000.0,/west-ham-united/startseite/verein/379/saison_id/2017,51120000.0,62120000.0,56885
2,2016,11,45,-17,47,64,12,9,17,27.00,7650000.0,2550000.0,24.20,47270000.0,3150000.0,22.33,61650000.0,5140000.0,23.50,100130000.0,7150000.0,/west-ham-united/startseite/verein/379/saison_id/2016,75150000.0,36900000.0,56972
3,2015,7,62,14,65,51,16,14,8,23.75,5580000.0,1400000.0,21.84,42080000.0,2210000.0,23.17,58050000.0,4840000.0,24.67,60980000.0,4070000.0000000005,/west-ham-united/startseite/verein/379/saison_id/2015,47430000.0,16660000.0,34910
4,2014,12,47,-3,44,47,12,11,15,29.00,3150000.0,1050000.0,22.69,23760000.0,1830000.0,25.09,49500000.0,4500000.0,25.89,34290000.0,3810000.0,/west-ham-united/startseite/verein/379/saison_id/2014,31640000.0,3960000.0,34871
5,2013,13,40,-11,40,51,11,7,20,27.25,4500000.0,1130000.0,25.23,30830000.0,2370000.0,24.87,44100000.0,2940000.0,22.00,36000000.0,2770000.0,/west-ham-united/startseite/verein/379/saison_id/2013,21600000.0,477000.0,34197
6,2012,10,46,-8,45,53,12,10,16,26.67,1760000.0,585000.0,24.18,19580000.0,1780000.0,25.27,37130000.0,3380000.0,23.43,45900000.0,3280000.0,/west-ham-united/startseite/verein/379/saison_id/2012,21510000.0,4550000.0,34717
7,2010,20,33,-27,43,70,7,12,19,22.00,7790000.0,1950000.0,25.69,37400000.0,2880000.0,26.89,46350000.0,5150000.0,23.57,51530000.0,3680000.0,/west-ham-united/startseite/verein/379/saison_id/2010,14240000.0,4460000.0,33404
8,2009,17,35,-19,47,66,8,11,19,23.00,7340000.0,2450000.0,23.82,26510000.0,2410000.0,24.00,42930000.0,4290000.0,23.73,29700000.0,2700000.0,/west-ham-united/startseite/verein/379/saison_id/2009,19490000.0,37170000.0,33683
9,2008,9,51,-3,42,45,14,9,15,25.00,7070000.0,1410000.0,23.93,26150000.0,1870000.0,25.09,45140000.0,4099999.9999999995,23.30,24890000.0,2490000.0,/west-ham-united/startseite/verein/379/saison_id/2008,14400000.0,61950000.0,33700
10,2007,10,49,-8,42,50,13,10,15,29.67,4910000.0,1640000.0,25.18,20610000.0,1870000.0,25.43,49370000.0,3530000.0,22.88,27770000.0,3470000.0,/west-ham-united/startseite/verein/379/saison_id/2007,41940000.0,36900000.0,34601
11,2006,15,41,-24,35,59,12,5,21,28.67,7470000.0,2490000.0,24.75,21740000.0,1810000.0,24.09,26840000.0,2440000.0,24.78,39200000.0,4360000.0,/west-ham-united/startseite/verein/379/saison_id/2006,62870000.0,6080000.0,34719
12,2005,9,55,-3,52,55,16,7,15,27.20,5760000.0,1150000.0,24.89,15210000.0,1690000.0,22.09,4139999.9999999995,376000.0,24.38,16649999.999999998,2080000.0,/west-ham-united/startseite/verein/379/saison_id/2005,19430000.0,495000.0,33743
